"id","disease","code","disease_group_id","disease_group_code","block_code","chapter_id","block_id","level","place_of_class","type_of_code","code_1","code_2","field_11","field_12","field_13","field_14"
"632","Acute pulmonary coccidioidomycosis","B38.0","544","B38","B35","1","42","4","T","X","B38.0","B380","4-014","3-015","2-024","1-025"
"633","Chronic pulmonary coccidioidomycosis","B38.1","544","B38","B35","1","42","4","T","X","B38.1","B381","4-014","3-015","2-024","1-025"
"634","Pulmonary coccidioidomycosis, unspecified","B38.2","544","B38","B35","1","42","4","T","X","B38.2","B382","4-014","3-015","2-024","1-025"
"635","Cutaneous coccidioidomycosis","B38.3","544","B38","B35","1","42","4","T","X","B38.3","B383","4-014","3-015","2-024","1-025"
"636","Coccidioidomycosis meningitis","B38.4","544","B38","B35","1","42","4","T","X","B38.4","B384","4-014","3-015","2-024","1-025"
"637","Disseminated coccidioidomycosis","B38.7","544","B38","B35","1","42","4","T","X","B38.7","B387","4-014","3-015","2-024","1-025"
"638","Other forms of coccidioidomycosis","B38.8","544","B38","B35","1","42","4","T","X","B38.8","B388","4-014","3-015","2-024","1-025"
"639","Coccidioidomycosis, unspecified","B38.9","544","B38","B35","1","42","4","T","X","B38.9","B389","4-014","3-015","2-024","1-025"
"640","Histoplasmosis","B39","545","B39","B35","1","42","3","N","X","B39.-","B39","4-014","3-015","2-024","1-025"
"641","Acute pulmonary histoplasmosis capsulati","B39.0","545","B39","B35","1","42","4","T","X","B39.0","B390","4-014","3-015","2-024","1-025"
"642","Chronic pulmonary histoplasmosis capsulati","B39.1","545","B39","B35","1","42","4","T","X","B39.1","B391","4-014","3-015","2-024","1-025"
"643","Pulmonary histoplasmosis capsulati, unspecified","B39.2","545","B39","B35","1","42","4","T","X","B39.2","B392","4-014","3-015","2-024","1-025"
"644","Disseminated histoplasmosis capsulati","B39.3","545","B39","B35","1","42","4","T","X","B39.3","B393","4-014","3-015","2-024","1-025"
"645","Histoplasmosis capsulati, unspecified","B39.4","545","B39","B35","1","42","4","T","X","B39.4","B394","4-014","3-015","2-024","1-025"
"646","Histoplasmosis duboisii","B39.5","545","B39","B35","1","42","4","T","X","B39.5","B395","4-014","3-015","2-024","1-025"
"647","Histoplasmosis, unspecified","B39.9","545","B39","B35","1","42","4","T","X","B39.9","B399","4-014","3-015","2-024","1-025"
"648","Blastomycosis","B40","546","B40","B35","1","42","3","N","X","B40.-","B40","4-014","3-015","2-024","1-025"
"649","Acute pulmonary blastomycosis","B40.0","546","B40","B35","1","42","4","T","X","B40.0","B400","4-014","3-015","2-024","1-025"
"650","Chronic pulmonary blastomycosis","B40.1","546","B40","B35","1","42","4","T","X","B40.1","B401","4-014","3-015","2-024","1-025"
"651","Pulmonary blastomycosis, unspecified","B40.2","546","B40","B35","1","42","4","T","X","B40.2","B402","4-014","3-015","2-024","1-025"
"652","Cutaneous blastomycosis","B40.3","546","B40","B35","1","42","4","T","X","B40.3","B403","4-014","3-015","2-024","1-025"
"653","Disseminated blastomycosis","B40.7","546","B40","B35","1","42","4","T","X","B40.7","B407","4-014","3-015","2-024","1-025"
"654","Other forms of blastomycosis","B40.8","546","B40","B35","1","42","4","T","X","B40.8","B408","4-014","3-015","2-024","1-025"
"655","Blastomycosis, unspecified","B40.9","546","B40","B35","1","42","4","T","X","B40.9","B409","4-014","3-015","2-024","1-025"
"656","Paracoccidioidomycosis","B41","547","B41","B35","1","42","3","N","X","B41.-","B41","4-014","3-015","2-024","1-025"
"657","Pulmonary paracoccidioidomycosis","B41.0","547","B41","B35","1","42","4","T","X","B41.0","B410","4-014","3-015","2-024","1-025"
"658","Disseminated paracoccidioidomycosis","B41.7","547","B41","B35","1","42","4","T","X","B41.7","B417","4-014","3-015","2-024","1-025"
"659","Other forms of paracoccidioidomycosis","B41.8","547","B41","B35","1","42","4","T","X","B41.8","B418","4-014","3-015","2-024","1-025"
"660","Paracoccidioidomycosis, unspecified","B41.9","547","B41","B35","1","42","4","T","X","B41.9","B419","4-014","3-015","2-024","1-025"
"661","Sporotrichosis","B42","548","B42","B35","1","42","3","N","X","B42.-","B42","4-014","3-015","2-024","1-025"
"662","Pulmonary sporotrichosis","B42.0","548","B42","B35","1","42","4","T","X","B42.0","B420","4-014","3-015","2-024","1-025"
"663","Lymphocutaneous sporotrichosis","B42.1","548","B42","B35","1","42","4","T","X","B42.1","B421","4-014","3-015","2-024","1-025"
"664","Disseminated sporotrichosis","B42.7","548","B42","B35","1","42","4","T","X","B42.7","B427","4-014","3-015","2-024","1-025"
"665","Other forms of sporotrichosis","B42.8","548","B42","B35","1","42","4","T","X","B42.8","B428","4-014","3-015","2-024","1-025"
"666","Sporotrichosis, unspecified","B42.9","548","B42","B35","1","42","4","T","X","B42.9","B429","4-014","3-015","2-024","1-025"
"667","Chromomycosis and phaeomycotic abscess","B43","549","B43","B35","1","42","3","N","X","B43.-","B43","4-014","3-015","2-024","1-025"
"668","Cutaneous chromomycosis","B43.0","549","B43","B35","1","42","4","T","X","B43.0","B430","4-014","3-015","2-024","1-025"
"669","Phaeomycotic brain abscess","B43.1","549","B43","B35","1","42","4","T","X","B43.1","B431","4-014","3-015","2-024","1-025"
"670","Subcutaneous phaeomycotic abscess and cyst","B43.2","549","B43","B35","1","42","4","T","X","B43.2","B432","4-014","3-015","2-024","1-025"
"671","Other forms of chromomycosis","B43.8","549","B43","B35","1","42","4","T","X","B43.8","B438","4-014","3-015","2-024","1-025"
"672","Chromomycosis, unspecified","B43.9","549","B43","B35","1","42","4","T","X","B43.9","B439","4-014","3-015","2-024","1-025"
"673","Aspergillosis","B44","550","B44","B35","1","42","3","N","X","B44.-","B44","4-014","3-015","2-024","1-025"
"674","Invasive pulmonary aspergillosis","B44.0","550","B44","B35","1","42","4","T","X","B44.0","B440","4-014","3-015","2-024","1-025"
"675","Other pulmonary aspergillosis","B44.1","550","B44","B35","1","42","4","T","X","B44.1","B441","4-014","3-015","2-024","1-025"
"676","Tonsillar aspergillosis","B44.2","550","B44","B35","1","42","4","T","X","B44.2","B442","4-014","3-015","2-024","1-025"
"677","Disseminated aspergillosis","B44.7","550","B44","B35","1","42","4","T","X","B44.7","B447","4-014","3-015","2-024","1-025"
"678","Other forms of aspergillosis","B44.8","550","B44","B35","1","42","4","T","X","B44.8","B448","4-014","3-015","2-024","1-025"
"679","Aspergillosis, unspecified","B44.9","550","B44","B35","1","42","4","T","X","B44.9","B449","4-014","3-015","2-024","1-025"
"680","Cryptococcosis","B45","551","B45","B35","1","42","3","N","X","B45.-","B45","4-014","3-015","2-024","1-025"
"681","Pulmonary cryptococcosis","B45.0","551","B45","B35","1","42","4","T","X","B45.0","B450","4-014","3-015","2-024","1-025"
"682","Cerebral cryptococcosis","B45.1","551","B45","B35","1","42","4","T","X","B45.1","B451","4-014","3-015","2-024","1-025"
"683","Cutaneous cryptococcosis","B45.2","551","B45","B35","1","42","4","T","X","B45.2","B452","4-014","3-015","2-024","1-025"
"684","Osseous cryptococcosis","B45.3","551","B45","B35","1","42","4","T","X","B45.3","B453","4-014","3-015","2-024","1-025"
"685","Disseminated cryptococcosis","B45.7","551","B45","B35","1","42","4","T","X","B45.7","B457","4-014","3-015","2-024","1-025"
"686","Other forms of cryptococcosis","B45.8","551","B45","B35","1","42","4","T","X","B45.8","B458","4-014","3-015","2-024","1-025"
"687","Cryptococcosis, unspecified","B45.9","551","B45","B35","1","42","4","T","X","B45.9","B459","4-014","3-015","2-024","1-025"
"688","Zygomycosis","B46","552","B46","B35","1","42","3","N","X","B46.-","B46","4-014","3-015","2-024","1-025"
"689","Pulmonary mucormycosis","B46.0","552","B46","B35","1","42","4","T","X","B46.0","B460","4-014","3-015","2-024","1-025"
"690","Rhinocerebral mucormycosis","B46.1","552","B46","B35","1","42","4","T","X","B46.1","B461","4-014","3-015","2-024","1-025"
"691","Gastrointestinal mucormycosis","B46.2","552","B46","B35","1","42","4","T","X","B46.2","B462","4-014","3-015","2-024","1-025"
"692","Cutaneous mucormycosis","B46.3","552","B46","B35","1","42","4","T","X","B46.3","B463","4-014","3-015","2-024","1-025"
"693","Disseminated mucormycosis","B46.4","552","B46","B35","1","42","4","T","X","B46.4","B464","4-014","3-015","2-024","1-025"
"694","Mucormycosis, unspecified","B46.5","552","B46","B35","1","42","4","T","X","B46.5","B465","4-014","3-015","2-024","1-025"
"695","Other zygomycoses","B46.8","552","B46","B35","1","42","4","T","X","B46.8","B468","4-014","3-015","2-024","1-025"
"696","Zygomycosis, unspecified","B46.9","552","B46","B35","1","42","4","T","X","B46.9","B469","4-014","3-015","2-024","1-025"
"697","Mycetoma","B47","553","B47","B35","1","42","3","N","X","B47.-","B47","4-014","3-015","2-024","1-025"
"698","Eumycetoma","B47.0","553","B47","B35","1","42","4","T","X","B47.0","B470","4-014","3-015","2-024","1-025"
"699","Actinomycetoma","B47.1","553","B47","B35","1","42","4","T","X","B47.1","B471","4-014","3-015","2-024","1-025"
"700","Mycetoma, unspecified","B47.9","553","B47","B35","1","42","4","T","X","B47.9","B479","4-014","3-015","2-024","1-025"
"701","Other mycoses, not elsewhere classified","B48","554","B48","B35","1","42","3","N","X","B48.-","B48","4-014","3-015","2-024","1-025"
"702","Lobomycosis","B48.0","554","B48","B35","1","42","4","T","X","B48.0","B480","4-014","3-015","2-024","1-025"
"703","Rhinosporidiosis","B48.1","554","B48","B35","1","42","4","T","X","B48.1","B481","4-014","3-015","2-024","1-025"
"704","Allescheriasis","B48.2","554","B48","B35","1","42","4","T","X","B48.2","B482","4-014","3-015","2-024","1-025"
"705","Geotrichosis","B48.3","554","B48","B35","1","42","4","T","X","B48.3","B483","4-014","3-015","2-024","1-025"
"706","Penicillosis","B48.4","554","B48","B35","1","42","4","T","X","B48.4","B484","4-014","3-015","2-024","1-025"
"707","Opportunistic mycoses","B48.7","554","B48","B35","1","42","4","T","X","B48.7","B487","4-014","3-015","2-024","1-025"
"708","Other specified mycoses","B48.8","554","B48","B35","1","42","4","T","X","B48.8","B488","4-014","3-015","2-024","1-025"
"709","Unspecified mycosis","B49","555","B49","B35","1","42","3","T","X","B49","B49","4-014","3-015","2-024","1-025"
"710","Plasmodium falciparum malaria","B50","556","B50","B50","1","43","3","N","X","B50.-","B50","4-013","3-014","2-020","1-021"
"711","Plasmodium falciparum malaria with cerebral complications","B50.0","556","B50","B50","1","43","4","T","X","B50.0","B500","4-013","3-014","2-020","1-021"
"712","Other severe and complicated Plasmodium falciparum malaria","B50.8","556","B50","B50","1","43","4","T","X","B50.8","B508","4-013","3-014","2-020","1-021"
"713","Plasmodium falciparum malaria, unspecified","B50.9","556","B50","B50","1","43","4","T","X","B50.9","B509","4-013","3-014","2-020","1-021"
"714","Plasmodium vivax malaria","B51","557","B51","B50","1","43","3","N","X","B51.-","B51","4-013","3-014","2-020","1-021"
"715","Plasmodium vivax malaria with rupture of spleen","B51.0","557","B51","B50","1","43","4","T","X","B51.0","B510","4-013","3-014","2-020","1-021"
"716","Plasmodium vivax malaria with other complications","B51.8","557","B51","B50","1","43","4","T","X","B51.8","B518","4-013","3-014","2-020","1-021"
"717","Plasmodium vivax malaria without complication","B51.9","557","B51","B50","1","43","4","T","X","B51.9","B519","4-013","3-014","2-020","1-021"
"718","Plasmodium malariae malaria","B52","558","B52","B50","1","43","3","N","X","B52.-","B52","4-013","3-014","2-020","1-021"
"719","Plasmodium malariae malaria with nephropathy","B52.0","558","B52","B50","1","43","4","T","X","B52.0","B520","4-013","3-014","2-020","1-021"
"720","Plasmodium malariae malaria with other complications","B52.8","558","B52","B50","1","43","4","T","X","B52.8","B528","4-013","3-014","2-020","1-021"
"721","Plasmodium malariae malaria without complication","B52.9","558","B52","B50","1","43","4","T","X","B52.9","B529","4-013","3-014","2-020","1-021"
"722","Other parasitologically confirmed malaria","B53","559","B53","B50","1","43","3","N","X","B53.-","B53","4-013","3-014","2-020","1-021"
"723","Plasmodium ovale malaria","B53.0","559","B53","B50","1","43","4","T","X","B53.0","B530","4-013","3-014","2-020","1-021"
"724","Malaria due to simian plasmodia","B53.1","559","B53","B50","1","43","4","T","X","B53.1","B531","4-013","3-014","2-020","1-021"
"725","Other parasitologically confirmed malaria, not elsewhere classified","B53.8","559","B53","B50","1","43","4","T","X","B53.8","B538","4-013","3-014","2-020","1-021"
"726","Unspecified malaria","B54","560","B54","B50","1","43","3","T","X","B54","B54","4-013","3-014","2-020","1-021"
"727","Leishmaniasis","B55","561","B55","B50","1","44","3","N","X","B55.-","B55","4-014","3-015","2-021","1-022"
"728","Visceral leishmaniasis","B55.0","561","B55","B50","1","44","4","T","X","B55.0","B550","4-014","3-015","2-021","1-022"
"729","Cutaneous leishmaniasis","B55.1","561","B55","B50","1","44","4","T","X","B55.1","B551","4-014","3-015","2-021","1-022"
"730","Mucocutaneous leishmaniasis","B55.2","561","B55","B50","1","44","4","T","X","B55.2","B552","4-014","3-015","2-021","1-022"
"731","Leishmaniasis, unspecified","B55.9","561","B55","B50","1","44","4","T","X","B55.9","B559","4-014","3-015","2-021","1-022"
"732","African trypanosomiasis","B56","562","B56","B50","1","45","3","N","X","B56.-","B56","4-014","3-015","2-022","1-023"
"733","Gambiense trypanosomiasis","B56.0","562","B56","B50","1","45","4","T","X","B56.0","B560","4-014","3-015","2-022","1-023"
"734","Rhodesiense trypanosomiasis","B56.1","562","B56","B50","1","45","4","T","X","B56.1","B561","4-014","3-015","2-022","1-023"
"735","African trypanosomiasis, unspecified","B56.9","562","B56","B50","1","45","4","T","X","B56.9","B569","4-014","3-015","2-022","1-023"
"736","Chagas disease","B57","563","B57","B50","1","45","3","N","X","B57.-","B57","4-014","3-015","2-022","1-023"
"737","Acute Chagas disease with heart involvement","B57.0","563","B57","B50","1","45","4","T","X","B57.0","B570","4-014","3-015","2-022","1-023"
"738","Acute Chagas disease without heart involvement","B57.1","563","B57","B50","1","45","4","T","X","B57.1","B571","4-014","3-015","2-022","1-023"
"739","Chagas disease (chronic) with heart involvement","B57.2","563","B57","B50","1","45","4","T","X","B57.2","B572","4-014","3-015","2-022","1-023"
"740","Chagas disease (chronic) with digestive system involvement","B57.3","563","B57","B50","1","45","4","T","X","B57.3","B573","4-014","3-015","2-022","1-023"
"741","Chagas disease (chronic) with nervous system involvement","B57.4","563","B57","B50","1","45","4","T","X","B57.4","B574","4-014","3-015","2-022","1-023"
"742","Chagas disease (chronic) with other organ involvement","B57.5","563","B57","B50","1","45","4","T","X","B57.5","B575","4-014","3-015","2-022","1-023"
"743","Toxoplasmosis","B58","564","B58","B50","1","57","3","N","X","B58.-","B58","4-014","3-015","2-024","1-025"
"744","Toxoplasma oculopathy","B58.0","564","B58","B50","1","57","4","T","X","B58.0","B580","4-014","3-015","2-024","1-025"
"745","Toxoplasma hepatitis","B58.1","564","B58","B50","1","57","4","T","X","B58.1","B581","4-014","3-015","2-024","1-025"
"746","Toxoplasma meningoencephalitis","B58.2","564","B58","B50","1","57","4","T","X","B58.2","B582","4-014","3-015","2-024","1-025"
"747","Pulmonary toxoplasmosis","B58.3","564","B58","B50","1","57","4","T","X","B58.3","B583","4-014","3-015","2-024","1-025"
"748","Toxoplasmosis with other organ involvement","B58.8","564","B58","B50","1","57","4","T","X","B58.8","B588","4-014","3-015","2-024","1-025"
"749","Toxoplasmosis, unspecified","B58.9","564","B58","B50","1","57","4","T","X","B58.9","B589","4-014","3-015","2-024","1-025"
"750","Pneumocystosis","B59","565","B59","B50","1","57","3","T","X","B59","B59","4-014","3-015","2-024","1-025"
"751","Other protozoal diseases, not elsewhere classified","B60","566","B60","B50","1","57","3","N","X","B60.-","B60","4-014","3-015","2-024","1-025"
"752","Babesiosis","B60.0","566","B60","B50","1","57","4","T","X","B60.0","B600","4-014","3-015","2-024","1-025"
"753","Acanthamoebiasis","B60.1","566","B60","B50","1","57","4","T","X","B60.1","B601","4-014","3-015","2-024","1-025"
"754","Naegleriasis","B60.2","566","B60","B50","1","57","4","T","X","B60.2","B602","4-014","3-015","2-024","1-025"
"755","Other specified protozoal diseases","B60.8","566","B60","B50","1","57","4","T","X","B60.8","B608","4-014","3-015","2-024","1-025"
"756","Unspecified protozoal disease","B64","567","B64","B50","1","57","3","T","X","B64","B64","4-014","3-015","2-024","1-025"
"757","Schistosomiasis [bilharziasis]","B65","568","B65","B65","1","46","3","N","X","B65.-","B65","4-014","3-015","2-023","1-024"
"758","Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]","B65.0","568","B65","B65","1","46","4","T","X","B65.0","B650","4-014","3-015","2-023","1-024"
"759","Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]","B65.1","568","B65","B65","1","46","4","T","X","B65.1","B651","4-014","3-015","2-023","1-024"
"760","Schistosomiasis due to Schistosoma japonicum","B65.2","568","B65","B65","1","46","4","T","X","B65.2","B652","4-014","3-015","2-023","1-024"
"761","Cercarial dermatitis","B65.3","568","B65","B65","1","46","4","T","X","B65.3","B653","4-014","3-015","2-023","1-024"
"762","Other schistosomiases","B65.8","568","B65","B65","1","46","4","T","X","B65.8","B658","4-014","3-015","2-023","1-024"
"763","Schistosomiasis, unspecified","B65.9","568","B65","B65","1","46","4","T","X","B65.9","B659","4-014","3-015","2-023","1-024"
"764","Other fluke infections","B66","569","B66","B65","1","47","3","N","X","B66.-","B66","4-014","3-015","2-024","1-025"
"765","Opisthorchiasis","B66.0","569","B66","B65","1","47","4","T","X","B66.0","B660","4-014","3-015","2-024","1-025"
"766","Clonorchiasis","B66.1","569","B66","B65","1","47","4","T","X","B66.1","B661","4-014","3-015","2-024","1-025"
"767","Dicrocoeliasis","B66.2","569","B66","B65","1","47","4","T","X","B66.2","B662","4-014","3-015","2-024","1-025"
"768","Fascioliasis","B66.3","569","B66","B65","1","47","4","T","X","B66.3","B663","4-014","3-015","2-024","1-025"
"769","Paragonimiasis","B66.4","569","B66","B65","1","47","4","T","X","B66.4","B664","4-014","3-015","2-024","1-025"
"770","Fasciolopsiasis","B66.5","569","B66","B65","1","47","4","T","X","B66.5","B665","4-014","3-015","2-024","1-025"
"771","Other specified fluke infections","B66.8","569","B66","B65","1","47","4","T","X","B66.8","B668","4-014","3-015","2-024","1-025"
"772","Fluke infection, unspecified","B66.9","569","B66","B65","1","47","4","T","X","B66.9","B669","4-014","3-015","2-024","1-025"
"773","Echinococcosis","B67","570","B67","B65","1","48","3","N","X","B67.-","B67","4-014","3-015","2-024","1-025"
"774","Echinococcus granulosus infection of liver","B67.0","570","B67","B65","1","48","4","T","X","B67.0","B670","4-014","3-015","2-024","1-025"
"775","Echinococcus granulosus infection of lung","B67.1","570","B67","B65","1","48","4","T","X","B67.1","B671","4-014","3-015","2-024","1-025"
"776","Echinococcus granulosus infection of bone","B67.2","570","B67","B65","1","48","4","T","X","B67.2","B672","4-014","3-015","2-024","1-025"
"777","Echinococcus granulosus infection, other and multiple sites","B67.3","570","B67","B65","1","48","4","T","X","B67.3","B673","4-014","3-015","2-024","1-025"
"778","Echinococcus granulosus infection, unspecified","B67.4","570","B67","B65","1","48","4","T","X","B67.4","B674","4-014","3-015","2-024","1-025"
"779","Echinococcus multilocularis infection of liver","B67.5","570","B67","B65","1","48","4","T","X","B67.5","B675","4-014","3-015","2-024","1-025"
"780","Echinococcus multilocularis infection, other and multiple sites","B67.6","570","B67","B65","1","48","4","T","X","B67.6","B676","4-014","3-015","2-024","1-025"
"781","Echinococcus multilocularis infection, unspecified","B67.7","570","B67","B65","1","48","4","T","X","B67.7","B677","4-014","3-015","2-024","1-025"
"782","Echinococcosis, unspecified, of liver","B67.8","570","B67","B65","1","48","4","T","X","B67.8","B678","4-014","3-015","2-024","1-025"
"783","Echinococcosis, other and unspecified","B67.9","570","B67","B65","1","48","4","T","X","B67.9","B679","4-014","3-015","2-024","1-025"
"784","Taeniasis","B68","571","B68","B65","1","53","3","N","X","B68.-","B68","4-014","3-015","2-024","1-025"
"785","Taenia solium taeniasis","B68.0","571","B68","B65","1","53","4","T","X","B68.0","B680","4-014","3-015","2-024","1-025"
"786","Taenia saginata taeniasis","B68.1","571","B68","B65","1","53","4","T","X","B68.1","B681","4-014","3-015","2-024","1-025"
"787","Taeniasis, unspecified","B68.9","571","B68","B65","1","53","4","T","X","B68.9","B689","4-014","3-015","2-024","1-025"
"788","Cysticercosis","B69","572","B69","B65","1","53","3","N","X","B69.-","B69","4-014","3-015","2-024","1-025"
"789","Cysticercosis of central nervous system","B69.0","572","B69","B65","1","53","4","T","X","B69.0","B690","4-014","3-015","2-024","1-025"
"790","Cysticercosis of eye","B69.1","572","B69","B65","1","53","4","T","X","B69.1","B691","4-014","3-015","2-024","1-025"
"791","Cysticercosis of other sites","B69.8","572","B69","B65","1","53","4","T","X","B69.8","B698","4-014","3-015","2-024","1-025"
"792","Cysticercosis, unspecified","B69.9","572","B69","B65","1","53","4","T","X","B69.9","B699","4-014","3-015","2-024","1-025"
"793","Diphyllobothriasis and sparganosis","B70","573","B70","B65","1","53","3","N","X","B70.-","B70","4-014","3-015","2-024","1-025"
"794","Diphyllobothriasis","B70.0","573","B70","B65","1","53","4","T","X","B70.0","B700","4-014","3-015","2-024","1-025"
"795","Sparganosis","B70.1","573","B70","B65","1","53","4","T","X","B70.1","B701","4-014","3-015","2-024","1-025"
"796","Other cestode infections","B71","574","B71","B65","1","53","3","N","X","B71.-","B71","4-014","3-015","2-024","1-025"
"797","Hymenolepiasis","B71.0","574","B71","B65","1","53","4","T","X","B71.0","B710","4-014","3-015","2-024","1-025"
"798","Dipylidiasis","B71.1","574","B71","B65","1","53","4","T","X","B71.1","B711","4-014","3-015","2-024","1-025"
"799","Other specified cestode infections","B71.8","574","B71","B65","1","53","4","T","X","B71.8","B718","4-014","3-015","2-024","1-025"
"800","Cestode infection, unspecified","B71.9","574","B71","B65","1","53","4","T","X","B71.9","B719","4-014","3-015","2-024","1-025"
"801","Dracunculiasis","B72","575","B72","B65","1","49","3","T","X","B72","B72","4-014","3-015","2-024","1-025"
"802","Onchocerciasis","B73","576","B73","B65","1","50","3","T","X","B73","B73","4-014","3-015","2-024","1-025"
"803","Filariasis","B74","577","B74","B65","1","51","3","N","X","B74.-","B74","4-014","3-015","2-024","1-025"
"804","Filariasis due to Wuchereria bancrofti","B74.0","577","B74","B65","1","51","4","T","X","B74.0","B740","4-014","3-015","2-024","1-025"
"805","Filariasis due to Brugia malayi","B74.1","577","B74","B65","1","51","4","T","X","B74.1","B741","4-014","3-015","2-024","1-025"
"806","Filariasis due to Brugia timori","B74.2","577","B74","B65","1","51","4","T","X","B74.2","B742","4-014","3-015","2-024","1-025"
"807","Loiasis","B74.3","577","B74","B65","1","51","4","T","X","B74.3","B743","4-014","3-015","2-024","1-025"
"808","Mansonelliasis","B74.4","577","B74","B65","1","51","4","T","X","B74.4","B744","4-014","3-015","2-024","1-025"
"809","Other filariases","B74.8","577","B74","B65","1","51","4","T","X","B74.8","B748","4-014","3-015","2-024","1-025"
"810","Filariasis, unspecified","B74.9","577","B74","B65","1","51","4","T","X","B74.9","B749","4-014","3-015","2-024","1-025"
"811","Trichinellosis","B75","578","B75","B65","1","53","3","T","X","B75","B75","4-014","3-015","2-024","1-025"
"812","Hookworm diseases","B76","579","B76","B65","1","52","3","N","X","B76.-","B76","4-014","3-015","2-024","1-025"
"813","Ancylostomiasis","B76.0","579","B76","B65","1","52","4","T","X","B76.0","B760","4-014","3-015","2-024","1-025"
"814","Necatoriasis","B76.1","579","B76","B65","1","52","4","T","X","B76.1","B761","4-014","3-015","2-024","1-025"
"815","Other hookworm diseases","B76.8","579","B76","B65","1","52","4","T","X","B76.8","B768","4-014","3-015","2-024","1-025"
"816","Hookworm disease, unspecified","B76.9","579","B76","B65","1","52","4","T","X","B76.9","B769","4-014","3-015","2-024","1-025"
"817","Ascariasis","B77","580","B77","B65","1","53","3","N","X","B77.-","B77","4-014","3-015","2-024","1-025"
"818","Ascariasis with intestinal complications","B77.0","580","B77","B65","1","53","4","T","X","B77.0","B770","4-014","3-015","2-024","1-025"
"819","Ascariasis with other complications","B77.8","580","B77","B65","1","53","4","T","X","B77.8","B778","4-014","3-015","2-024","1-025"
"820","Ascariasis, unspecified","B77.9","580","B77","B65","1","53","4","T","X","B77.9","B779","4-014","3-015","2-024","1-025"
"821","Strongyloidiasis","B78","581","B78","B65","1","53","3","N","X","B78.-","B78","4-014","3-015","2-024","1-025"
"822","Intestinal strongyloidiasis","B78.0","581","B78","B65","1","53","4","T","X","B78.0","B780","4-014","3-015","2-024","1-025"
"823","Cutaneous strongyloidiasis","B78.1","581","B78","B65","1","53","4","T","X","B78.1","B781","4-014","3-015","2-024","1-025"
"824","Disseminated strongyloidiasis","B78.7","581","B78","B65","1","53","4","T","X","B78.7","B787","4-014","3-015","2-024","1-025"
"825","Strongyloidiasis, unspecified","B78.9","581","B78","B65","1","53","4","T","X","B78.9","B789","4-014","3-015","2-024","1-025"
"826","Trichuriasis","B79","582","B79","B65","1","53","3","T","X","B79","B79","4-014","3-015","2-024","1-025"
"827","Enterobiasis","B80","583","B80","B65","1","53","3","T","X","B80","B80","4-014","3-015","2-024","1-025"
"828","Other intestinal helminthiases, not elsewhere classified","B81","584","B81","B65","1","53","3","N","X","B81.-","B81","4-014","3-015","2-024","1-025"
"829","Anisakiasis","B81.0","584","B81","B65","1","53","4","T","X","B81.0","B810","4-014","3-015","2-024","1-025"
"830","Intestinal capillariasis","B81.1","584","B81","B65","1","53","4","T","X","B81.1","B811","4-014","3-015","2-024","1-025"
"831","Trichostrongyliasis","B81.2","584","B81","B65","1","53","4","T","X","B81.2","B812","4-014","3-015","2-024","1-025"
"832","Intestinal angiostrongyliasis","B81.3","584","B81","B65","1","53","4","T","X","B81.3","B813","4-014","3-015","2-024","1-025"
"833","Mixed intestinal helminthiases","B81.4","584","B81","B65","1","53","4","T","X","B81.4","B814","4-014","3-015","2-024","1-025"
"834","Other specified intestinal helminthiases","B81.8","584","B81","B65","1","53","4","T","X","B81.8","B818","4-014","3-015","2-024","1-025"
"835","Unspecified intestinal parasitism","B82","585","B82","B65","1","53","3","N","X","B82.-","B82","4-014","3-015","2-024","1-025"
"836","Intestinal helminthiasis, unspecified","B82.0","585","B82","B65","1","53","4","T","X","B82.0","B820","4-014","3-015","2-024","1-025"
"837","Intestinal parasitism, unspecified","B82.9","585","B82","B65","1","53","4","T","X","B82.9","B829","4-014","3-015","2-024","1-025"
"838","Other helminthiases","B83","586","B83","B65","1","53","3","N","X","B83.-","B83","4-014","3-015","2-024","1-025"
"839","Visceral larva migrans","B83.0","586","B83","B65","1","53","4","T","X","B83.0","B830","4-014","3-015","2-024","1-025"
"840","Gnathostomiasis","B83.1","586","B83","B65","1","53","4","T","X","B83.1","B831","4-014","3-015","2-024","1-025"
"841","Angiostrongyliasis due to Parastrongylus cantonensis","B83.2","586","B83","B65","1","53","4","T","X","B83.2","B832","4-014","3-015","2-024","1-025"
"842","Syngamiasis","B83.3","586","B83","B65","1","53","4","T","X","B83.3","B833","4-014","3-015","2-024","1-025"
"843","Internal hirudiniasis","B83.4","586","B83","B65","1","53","4","T","X","B83.4","B834","4-014","3-015","2-024","1-025"
"844","Other specified helminthiases","B83.8","586","B83","B65","1","53","4","T","X","B83.8","B838","4-014","3-015","2-024","1-025"
"845","Helminthiasis, unspecified","B83.9","586","B83","B65","1","53","4","T","X","B83.9","B839","4-014","3-015","2-024","1-025"
"846","Pediculosis and phthiriasis","B85","587","B85","B85","1","57","3","N","X","B85.-","B85","4-014","3-015","2-024","1-025"
"847","Pediculosis due to Pediculus humanus capitis","B85.0","587","B85","B85","1","57","4","T","X","B85.0","B850","4-014","3-015","2-024","1-025"
"848","Pediculosis due to Pediculus humanus corporis","B85.1","587","B85","B85","1","57","4","T","X","B85.1","B851","4-014","3-015","2-024","1-025"
