"id","icd_10_DiseaseID","icd_10_Code","icd_10_Disease","icd_10_DiseaseGroupID","icd_10_DiseaseGroupCode","icd_10_BlockCode","tg_disease_name","tg1","tg2","tg3","tg4"
"166","462","B00","Herpesviral [herpes simplex] infections","515","B00","B00","HERPES SIMPLEX INFECTION","DISORDERS OF THE SKIN","VIRAL SKIN INFECTIONS","HERPES SIMPLEX INFECTION","HERPES SIMPLEX INFECTION"
"167","478","B02","Zoster [herpes zoster]","517","B02","B00","hERPES ZOSTER INFECTION","DISORDERS OF THE SKIN","VIRAL SKIN INFECTIONS","VIRAL SKIN INFECTIONS","VIRAL SKIN INFECTIONS"
"168","4806","K73","Chronic hepatitis, not elsewhere classified","1258","K73","K70","CHRONIC HEPATITIS","DISORDERS OF THE LIVER","HEPATITIS","CHRONIC HEPATITIS","CHRONIC HEPATITIS"
"169","530","B19","Unspecified viral hepatitis","529","B19","B15","HEPATITIS","DISORDERS OF THE LIVER","HEPATITIS","HEPATITIS","HEPATITIS"
"170","6583","O25","Malnutrition in pregnancy","1528","O25","O20","MALNUTRITION","NUTRITIONAL DISORDERS","MALNUTRITION","MALNUTRITION","MALNUTRITION"
"171","1867","D64","Other anaemias","751","D64","D60","ANAEMIA","HAEMATOLOGICAL DISORDERS","ANAEMIA","ANAEMIA","ANAEMIA"
"172","2042","E11","Non-insulin-dependent diabetes mellitus","781","E11","E10","DIABETES MELLITUS TYPE 2","ENDOCRINE AND METABOLIC DISORDERS","DIABETES MELLITUS","DIABETES MELLITUS","DIABETES MELLITUS"
"173","6398","N93","Other abnormal uterine and vaginal bleeding","1500","N93","N80","BLEEDING DISORDERS","HAEMATOLOGICAL DISORDERS","BLEEDING DISORDERS","BLEEDING DISORDERS","BLEEDING DISORDERS"
"174","2031","E10","Insulin-dependent diabetes mellitus","780","E10","E10","DIABETES MELLITUS TYPE 1","ENDOCRINE AND METABOLIC DISORDERS","DIABETES MELLITUS","DIABETES MELLITUS","DIABETES MELLITUS"
"175","1434","C94","Other leukaemias of specified cell type","686","C94","C81","LEUKAEMIA","HAEMATOLOGICAL DISORDERS","LEUKAEMIA","LEUKAEMIA","LEUKAEMIA"
"177","1356","C82.0","Follicular lymphoma grade I","676","C82","C81","LYMPHOMA","HAEMATOLOGICAL DISORDERS","LYMPHOMA","LYMPHOMA","LYMPHOMA"
"178","2033","E10.1","Insulin-dependent diabetes mellitus: With ketoacidosis","780","E10","E10","DIABETIC KETOACIDOSIS","ENDOCRINE AND METABOLIC DISORDERS","MANAGEMENT OF DIABETIC EMERGENCIES","DIABETIC KETOACIDOSIS","DIABETIC KETOACIDOSIS"
"179","1403","C90.0","Multiple myeloma","682","C90","C81","MULTIPLE MYELOMA","HAEMATOLOGICAL DISORDERS","MULTIPLE MYELOMA","MULTIPLE MYELOMA","MULTIPLE MYELOMA"
"180","1829","D57","Sickle-cell disorders","744","D57","D55","SICKLE CELL DISEASE","HAEMATOLOGICAL DISORDERS","SICKLE CELL DISEASE","SICKLE CELL DISEASE","SICKLE CELL DISEASE"
"181","11560","Z27","Need for immunization against combinations of infectious diseases","1978","Z27","Z20","IMMUNIZATION","CHILDHOOD IMMUNIZABLE DISEASES","IMMUNIZATION","IMMUNIZATION","IMMUNIZATION"
"182","7060","P15.9","Birth injury, unspecified","63","P15","P10","BIRTH INJURIES","PROBLEMS OF THE NEWBORN (NEONATE)","BIRTH INJURIES","BIRTH INJURIES","BIRTH INJURIES"
"183","7060","P15.9","Birth injury, unspecified","63","P15","P10","CEPHALHAEMATOMA","PROBLEMS OF THE NEWBORN (NEONATE)","BIRTH INJURIES","CEPHALHAEMATOMA","CEPHALHAEMATOMA"
"184","7060","P15.9","Birth injury, unspecified","63","P15","P10","EXTENSIVE CAPUT SUCCEDANEUM","PROBLEMS OF THE NEWBORN (NEONATE)","BIRTH INJURIES","EXTENSIVE CAPUT SUCCEDANEUM","EXTENSIVE CAPUT SUCCEDANEUM"
"185","7060","P15.9","Birth injury, unspecified","63","P15","P10","NERVE INJURIES","PROBLEMS OF THE NEWBORN (NEONATE)","BIRTH INJURIES","NERVE INJURIES","NERVE INJURIES"
"186","7060","P15.9","Birth injury, unspecified","63","P15","P10","SUBGALEAL HAEMORRHAGE","PROBLEMS OF THE NEWBORN (NEONATE)","BIRTH INJURIES","SUBGALEAL HAEMORRHAGE","SUBGALEAL HAEMORRHAGE"
"187","3298","H10","Conjunctivitis","998","H10","H10","NEONATAL CONJUNCTIVITIS","PROBLEMS OF THE NEWBORN (NEONATE)","NEONATAL CONJUNCTIVITIS","NEONATAL CONJUNCTIVITIS","NEONATAL CONJUNCTIVITIS"
"188","2090","E16.2","Hypoglycaemia, unspecified","786","E16","E15","NEONATAL HYPOGLYCAEMIA","PROBLEMS OF THE NEWBORN (NEONATE)","NEONATAL HYPOGLYCAEMIA","NEONATAL HYPOGLYCAEMIA","NEONATAL HYPOGLYCAEMIA"
"189","7154","P39.3","Neonatal urinary tract infection","13","P39","P35","SICK NEWBORN","PROBLEMS OF THE NEWBORN (NEONATE)","SICK NEWBORN","SICK NEWBORN","SICK NEWBORN"
"190","8225","R51","Headache","98","R51","R50","HEADACHE","DISORDERS OF THE CENTRAL NERVOUS SYSTEM","HEADACHE","HEADACHE","HEADACHE"
"191","2984","G40","Epilepsy","951","G40","G40","EPILEPSY","DISORDERS OF THE CENTRAL NERVOUS SYSTEM","SEIZURES, EPILEPSY AND STATUS EPILEPTICUS","EPILEPSY","EPILEPSY"
"192","2995","G41","Status epilepticus","952","G41","G40","STATUS EPILEPTICUS","DISORDERS OF THE CENTRAL NERVOUS SYSTEM","SEIZURES, EPILEPSY AND STATUS EPILEPTICUS","STATUS EPILEPTICUS","STATUS EPILEPTICUS"
"193","2444","F10.4","Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium","854","F10","F10","ALCOHOL WITHDRAWAL SYNDROMES","PSYCHIATRIC DISORDERS","ALCOHOL WITHDRAWAL SYNDROMES","ALCOHOL WITHDRAWAL SYNDROMES","ALCOHOL WITHDRAWAL SYNDROMES"
"194","2444","F10.4","Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium","854","F10","F10","ALCOHOLIC DELIRIUM TREMENS","PSYCHIATRIC DISORDERS","ALCOHOL WITHDRAWAL SYNDROMES","ALCOHOLIC DELIRIUM TREMENS","ALCOHOLIC DELIRIUM TREMENS"
"195","2444","F10.4","Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium","854","F10","F10","ALCOHOLIC HALLUCINOSIS","PSYCHIATRIC DISORDERS","ALCOHOL WITHDRAWAL SYNDROMES","ALCOHOLIC HALLUCINOSIS","ALCOHOLIC HALLUCINOSIS"
"196","2444","F10.4","Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium","854","F10","F10","ALCOHOLIC SEIZURES","PSYCHIATRIC DISORDERS","ALCOHOL WITHDRAWAL SYNDROMES","ALCOHOLIC SEIZURES","ALCOHOLIC SEIZURES"
"197","2444","F10.4","Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium","854","F10","F10","MINOR WITHDRAWAL (SHAKES)","PSYCHIATRIC DISORDERS","ALCOHOL WITHDRAWAL SYNDROMES","MINOR WITHDRAWAL (SHAKES)","MINOR WITHDRAWAL (SHAKES)"
"198","11891","Z72.1","Alcohol use","2019","Z72","Z70","ALCOHOLISM","PSYCHIATRIC DISORDERS","ALCOHOLISM","ALCOHOLISM","ALCOHOLISM"
"199","2628","F41","Other anxiety disorders","880","F41","F40","ANXIETY DISORDERS","PSYCHIATRIC DISORDERS","ANXIETY DISORDERS","ANXIETY DISORDERS","ANXIETY DISORDERS"
"200","2628","F41","Other anxiety disorders","880","F41","F40","GENERALISED ANXIETY DISORDERS","PSYCHIATRIC DISORDERS","ANXIETY DISORDERS","GENERALISED ANXIETY DISORDERS","GENERALISED ANXIETY DISORDERS"
"201","2628","F41","Other anxiety disorders","880","F41","F40","PANIC DISORDERS","PSYCHIATRIC DISORDERS","ANXIETY DISORDERS","PANIC DISORDERS","PANIC DISORDERS"
"202","2628","F41","Other anxiety disorders","880","F41","F40","ATTENTION DEFICIT HYPERACTIVITY DISORDER","PSYCHIATRIC DISORDERS","ATTENTION DEFICIT HYPERACTIVITY DISORDER","ATTENTION DEFICIT HYPERACTIVITY DISORDER","ATTENTION DEFICIT HYPERACTIVITY DISORDER"
"203","2586","F31","Bipolar affective disorder","873","F31","F30","BIPOLAR DISORDERS","PSYCHIATRIC DISORDERS","BIPOLAR DISORDERS","BIPOLAR DISORDERS","BIPOLAR DISORDERS"
"204","2586","F31","Bipolar affective disorder","873","F31","F30","MANIA and HYPOMANIA","PSYCHIATRIC DISORDERS","BIPOLAR DISORDERS","MANIA and HYPOMANIA","MANIA and HYPOMANIA"
"205","2586","F31","Bipolar affective disorder","873","F31","F30","DEPRESSION","PSYCHIATRIC DISORDERS","DEPRESSION","DEPRESSION","DEPRESSION"
"206","3034","G47.0","Disorders of initiating and maintaining sleep [insomnias]","957","G47","G40","INSOMNIA","PSYCHIATRIC DISORDERS","INSOMNIA","INSOMNIA","INSOMNIA"
"207","2984","G40","Epilepsy","951","G40","G40","PSYCHOGENIC SEIZURES","PSYCHIATRIC DISORDERS","PSYCHOGENIC SEIZURES","PSYCHOGENIC SEIZURES","PSYCHOGENIC SEIZURES"
"208","2549","F20","Schizophrenia","864","F20","F20","SCHIZOPHRENIA","PSYCHIATRIC DISORDERS","SCHIZOPHRENIA","SCHIZOPHRENIA","SCHIZOPHRENIA"
"209","2088","E16.0","Drug-induced hypoglycaemia without coma","786","E16","E15","HYPOGLYCAEMIA","ENDOCRINE AND METABOLIC DISORDERS","MANAGEMENT OF DIABETIC EMERGENCIES","HYPOGLYCAEMIA","HYPOGLYCAEMIA"
"210","2137","E27","Other disorders of adrenal gland","794","E27","E20","ADRENAL INSUFFICIENCY","THYROID DISORDERS","ADRENAL INSUFFICIENCY","ADRENAL INSUFFICIENCY","ADRENAL INSUFFICIENCY"
"211","2120","E24","Cushing syndrome","791","E24","E20","CUSHINGS SYNDROME","THYROID DISORDERS","CUSHINGS SYNDROME","CUSHINGS SYNDROME","CUSHINGS SYNDROME"
"213","2320","E78","Disorders of lipoprotein metabolism and other lipidaemias","834","E78","E70","HYPERLIPIDAEMIA","THYROID DISORDERS","DYSLIPIDAEMIAS","DYSLIPIDAEMIAS","DYSLIPIDAEMIAS"
"214","2009","E05","Thyrotoxicosis [hyperthyroidism]","777","E05","E00","HYPERTHYROIDISM (THYROTOXICOSIS)","THYROID DISORDERS","GOITRE","HYPERTHYROIDISM (THYROTOXICOSIS)","HYPERTHYROIDISM (THYROTOXICOSIS)"
"215","1994","E03","Other hypothyroidism","775","E03","E00","HYPOTHYROIDISM","THYROID DISORDERS","GOITRE","HYPOTHYROIDISM","HYPOTHYROIDISM"
"216","5379","M10","Gout","1355","M10","M05","ACUTE GOUT","THYROID DISORDERS","GOUT","GOUT","GOUT"
"218","5385","M10.9","Gout, unspecified","1355","M10","M05","CHRONIC GOUT","THYROID DISORDERS","GOUT","GOUT","GOUT"
"219","462","B00","Herpesviral [herpes simplex] infections","515","B00","B00","GENITAL ULCER (hERPES sIMPLEX)","SEXUALLY TRANSMITTED INFECTIONS","GENITAL ULCER","GENITAL ULCER","GENITAL ULCER"
"220","272","A51.0","Primary genital syphilis","472","A51","A50","GENITAL ULCER (sYPHILIS)","SEXUALLY TRANSMITTED INFECTIONS","GENITAL ULCER","GENITAL ULCER","GENITAL ULCER"
"221","308","A57","Chancroid","478","A57","A50","GENITAL ULCER (CHANCROID)","","","",""
"222","319","A63.0","Anogenital (venereal) warts","482","A63","A50","GENITAL WARTS","SEXUALLY TRANSMITTED INFECTIONS","GENITAL WARTS","GENITAL WARTS","GENITAL WARTS"
"223","1319","C77.4","Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes","671","C77","C76","INGUINAL BUBO","SEXUALLY TRANSMITTED INFECTIONS","INGUINAL BUBO","INGUINAL BUBO","INGUINAL BUBO"
"224","6402","N94","Pain and other conditions associated with female genital organs and menstrual cycle","1501","N94","N80","LOWER ABDOMINAL PAIN IN WOMEN","SEXUALLY TRANSMITTED INFECTIONS","LOWER ABDOMINAL PAIN IN WOMEN","LOWER ABDOMINAL PAIN IN WOMEN","LOWER ABDOMINAL PAIN IN WOMEN"
"225","6212","N49.2","Inflammatory disorders of scrotum","1471","N49","N40","SCROTAL SWELLING","SEXUALLY TRANSMITTED INFECTIONS","SCROTAL SWELLING","SCROTAL SWELLING","SCROTAL SWELLING"
"226","290","A54","Gonococcal infection","475","A54","A50","URETHRAL DISCHARGE IN MALES (gONORRHOEA)","SEXUALLY TRANSMITTED INFECTIONS","URETHRAL DISCHARGE IN MALES","URETHRAL DISCHARGE IN MALES","URETHRAL DISCHARGE IN MALES"
"227","301","A56","Other sexually transmitted chlamydial diseases","477","A56","A50","URETHRAL DISCHARGE IN MALES (CHLAMYDIA)","","","",""
"228","310","A59","Trichomoniasis","480","A59","A50","BACTERIAL VAGINOSIS","SEXUALLY TRANSMITTED INFECTIONS","VAGINAL DISCHARGE","VAGINAL DISCHARGE","VAGINAL DISCHARGE"
"229","624","B37.3","Candidiasis of vulva and vagina","543","B37","B35","CANDIDIASIS","","","",""
"232","6407","N94.4","Primary dysmenorrhoea","1501","N94","N80","DYSMENORRHOEA","OBSTETRIC CARE AND OBSTETRIC DISORDERS","GYNAECOLOGICAL DISORDERS","DYSMENORRHOEA","DYSMENORRHOEA"
"233","6398","N93","Other abnormal uterine and vaginal bleeding","1500","N93","N80","ABNORMAL VAGINAL BLEEDING","OBSTETRIC CARE AND OBSTETRIC DISORDERS","GYNAECOLOGICAL DISORDERS","ABNORMAL VAGINAL BLEEDING","ABNORMAL VAGINAL BLEEDING"
"234","6412","N95","Menopausal and other perimenopausal disorders","1502","N95","N80","MENOPAUSE","OBSTETRIC CARE AND OBSTETRIC DISORDERS","GYNAECOLOGICAL DISORDERS","MENOPAUSE","MENOPAUSE"
"235","6936","O99.0","Anaemia complicating pregnancy, childbirth and the puerperium","49","O99","O94","ANAEMIA IN PREGNANCY","OBSTETRIC CARE AND OBSTETRIC DISORDERS","ANAEMIA IN PREGNANCY","ANAEMIA IN PREGNANCY","ANAEMIA IN PREGNANCY"
"237","11603","Z34","Supervision of normal pregnancy","1985","Z34","Z30","ANTE-NATAL CARE","OBSTETRIC CARE AND OBSTETRIC DISORDERS","ANTE-NATAL CARE","ANTE-NATAL CARE","ANTE-NATAL CARE"
"238","6576","O24","Diabetes mellitus in pregnancy","1527","O24","O20","DIABETES MELLITUS IN PREGNANCY","OBSTETRIC CARE AND OBSTETRIC DISORDERS","DIABETES MELLITUS IN PREGNANCY","DIABETES MELLITUS IN PREGNANCY","DIABETES MELLITUS IN PREGNANCY"
"239","6543","O15","Eclampsia","1521","O15","O10","ECLAMPSIA","OBSTETRIC CARE AND OBSTETRIC DISORDERS","ECLAMPSIA","ECLAMPSIA","ECLAMPSIA"
"240","6554","O21.0","Mild hyperemesis gravidarum","1524","O21","O20","HYPEREMESIS GRAVIDARUM","OBSTETRIC CARE AND OBSTETRIC DISORDERS","HYPEREMESIS GRAVIDARUM","HYPEREMESIS GRAVIDARUM","HYPEREMESIS GRAVIDARUM"
"241","6799","O72","Postpartum haemorrhage","1560","O72","O60","POST-PARTUM HAEMORRHAGE","OBSTETRIC CARE AND OBSTETRIC DISORDERS","POST-PARTUM HAEMORRHAGE","POST-PARTUM HAEMORRHAGE","POST-PARTUM HAEMORRHAGE"
"242","6867","O86.4","Pyrexia of unknown origin following delivery","37","O86","O85","POST-PARTUM PYREXIA","OBSTETRIC CARE AND OBSTETRIC DISORDERS","POST-PARTUM PYREXIA","POST-PARTUM PYREXIA","POST-PARTUM PYREXIA"
"243","6539","O14.0","Moderate pre-eclampsia","1520","O14","O10","PRE-ECLAMPSIA","OBSTETRIC CARE AND OBSTETRIC DISORDERS","PRE-ECLAMPSIA","PRE-ECLAMPSIA","PRE-ECLAMPSIA"
"244","6540","O14.1","Severe pre-eclampsia","1520","O14","O10","PRE-ECLAMPSIA (severe)","","","",""
"245","6540","O14.1","Severe pre-eclampsia","1520","O14","O10","SEVERE PRE-ECLAMPSIA AND IMMINENT ECLAMPSIA","OBSTETRIC CARE AND OBSTETRIC DISORDERS","PRE-ECLAMPSIA","SEVERE PRE-ECLAMPSIA AND IMMINENT ECLAMPSIA","SEVERE PRE-ECLAMPSIA AND IMMINENT ECLAMPSIA"
"246","6685","O42","Premature rupture of membranes","1541","O42","O30","PREMATURE RUPTURE OF THE MEMBRANES","OBSTETRIC CARE AND OBSTETRIC DISORDERS","PREMATURE RUPTURE OF THE MEMBRANES","PREMATURE RUPTURE OF THE MEMBRANES","PREMATURE RUPTURE OF THE MEMBRANES"
"247","6712","O60","Preterm labour and delivery","1548","O60","O60","PRETERM LABOUR IN PREMATURE DELIVERY","OBSTETRIC CARE AND OBSTETRIC DISORDERS","PRETERM LABOUR IN PREMATURE DELIVERY","PRETERM LABOUR IN PREMATURE DELIVERY","PRETERM LABOUR IN PREMATURE DELIVERY"
"248","9727","T78.2","Anaphylactic shock, unspecified","318","T78","T66","ACUTE ALLERGIC REACTION (ANAPHYLAXIS)","GENERAL EMERGENCIES ","ACUTE ALLERGIC REACTION (ANAPHYLAXIS)","ACUTE ALLERGIC REACTION (ANAPHYLAXIS)","ACUTE ALLERGIC REACTION (ANAPHYLAXIS)"
"250","8239","R57.1","Hypovolaemic shock","104","R57","R50","SHOCK","GENERAL EMERGENCIES ","SHOCK","SHOCK","SHOCK"
"253","0","","","0","","","HYPERTENSION IN CHILDREN AND ADOLESCENTS","DISORDERS OF THE CARDIOVASCULAR SYSTEM","HYPERTENSION","HYPERTENSION IN CHILDREN AND ADOLESCENTS","HYPERTENSION IN CHILDREN AND ADOLESCENTS"
"254","0","","","0","","","ANTIBIOTIC PROPHYLAXIS IN SURGERY","ANTIBIOTIC PROPHYLAXIS IN SURGERY","ANTIBIOTIC PROPHYLAXIS IN SURGERY","ANTIBIOTIC PROPHYLAXIS IN SURGERY","ANTIBIOTIC PROPHYLAXIS IN SURGERY"
"255","0","","","0","","","","ANTIBIOTIC PROPHYLAXIS IN SURGERY","ANTIBIOTIC PROPHYLAXIS IN SURGERY","ANTIBIOTIC PROPHYLAXIS IN SURGERY","ANTIBIOTIC PROPHYLAXIS IN SURGERY"
"256","0","","","0","","","DIPHTHERIA","CHILDHOOD IMMUNIZABLE DISEASES","DIPHTHERIA","DIPHTHERIA","DIPHTHERIA"
"257","8069","R07.1","Chest pain on breathing","422","R07","R00","DYSPNOEA","DISORDERS OF THE CARDIOVASCULAR SYSTEM","DYSPNOEA","DYSPNOEA","DYSPNOEA"
